Zee Action,AsiaSat 7,C36-40,3820 V,DVB-S28PSK,27500,4-Mar,MPEG-4SD,Hin,Conax
Zee Action,G-Sat 15,India,11510 V,DVB-S,29500,4-Mar,MPEG-2SD,Hin,
Zee Action,Measat 3a,Global,3760 H,DVB-S28PSK,29700,6-May,MPEG-4SD,Hin,Conax
Zee Action,Measat 3a,Global,4040 H,DVB-S28PSK,29700,5-Mar,MPEG-4SD,Hin,Conax
Zee Action,G-Sat 30,Ku,11550 H,DVB-S28PSK,32720,3-Feb,MPEG-4SD,Hin,IrdetoVideoguard
Zee Action,Amos 4,Nepal0,10914 V,DVB-S2QPSK,45000,3-Feb,MPEG-4SD,Hin,LatensVerimatrix
Martial Arts World,ChinaSat 6E,,3780 V,DVB-S28PSK,32300,4-Mar,AVS+HD,Chi,Tongfang
Martial Arts World,SES 9,NE Asia0,10981 H,DVB-S2QPSK,45000,4-Mar,HEVC,Chi,Wyplay
Sadhna TV,SES 7,South Asia0,11600 H,DVB-S28PSK,30000,4-Mar,MPEG-4SD,Hin,IrdetoVideoguard
Sadhna TV,G-Sat 15,India,11510 V,DVB-S,29500,4-Mar,MPEG-2SD,Hin,
Sadhna TV,G-Sat 30,Ku,11090 H,DVB-S28PSK,32720,4-Mar,MPEG-4SD,Hin,IrdetoVideoguard
Liyuan TV,ChinaSat 6E,,3780 V,DVB-S28PSK,32300,4-Mar,AVS+HD,Chi,Tongfang
Nippon TV,Superbird B3,Japan,12314 H,DVB-S2QPSK,5180,4-Mar,HEVCHD,Jpn,BISS
Nippon TV,Galaxy 3C,North America H,Ku,DSS,,,,Jpn,Videoguard
Cultural Treasure Channel,ChinaSat 6E,,3780 V,DVB-S28PSK,32300,4-Mar,AVS+HD,Chi,Tongfang
NTV News 24,Superbird B3,Japan,12324 H,DVB-S2QPSK,5179,2-Jan,HEVCHD,Jpn,BISS
NTV News 24,JCSAT 5A,Ku0,12323 V,DVB-S232APSK,13330,4-Mar,MPEG-4SD,Jpn,
NTV News 24,JCSAT 4B,Japan0,12583 H,DVB-S28PSK,23303,5-Mar,MPEG-4HD,Jpn,Multi 2
NTV News 24,JCSAT 15,Ku,12411 R,ISDB-SQPSK,28860,4-Mar,HD,Jpn,B-CAS
Vanguard 2 Badminton Channel,ChinaSat 6E,,3780 V,DVB-S28PSK,32300,4-Mar,MPEG-2SD,Chi,Tongfang
Qinghai TV,ChinaSat 6E,,3787 H,DVB-S28PSK,7500,4-Mar,AVS+HD,Chi,Irdeto
Qinghai TV,ChinaSat 6E,,4158 H,DVB-S,8680,4-Mar,MPEG-2SD,Chi,
Qinghai TV,ChinaSat 9,Ku0,11960 L,ABS-S,28800,4-Mar,,Chi,Videoguard
Qinghai TV,ChinaSat 9,Ku0,12180 R,ABS-S,30000,4-Mar,HD,Chi,Videoguard
Pear TV,G-Sat 15,India,11510 V,DVB-S,29500,4-Mar,MPEG-2SD,Tam,
Raapchik,G-Sat 15,India,11090 V,DVB-S,29500,4-Mar,MPEG-2SD,Hin,
Raapchik,G-Sat 24,,11960 V,DVB-S28PSK,34280,5-Mar,MPEG-4SD,Hin,IrdetoVideoguard
Raapchik,G-Sat 30,C,4054 H,DVB-S28PSK,17000,6-May,MPEG-4SD,Hin,
Guizhou TV,ChinaSat 6D,C0,3940 V,DVB-S,29500,4-Mar,AVS+HD,Chi,Irdeto
Guizhou TV,ChinaSat 6E,,3796 H,DVB-S,6930,2-Jan,MPEG-2SD,Chi,
Guizhou TV,SES 9,NE Asia0,10981 H,DVB-S2QPSK,45000,4-Mar,HEVC,Chi,Wyplay
Guizhou TV,ChinaSat 9,Ku0,11920 L,ABS-S,28800,4-Mar,,Chi,Videoguard
Chongqing TV,LaoSat 1,Ku0,10730 V,DVB-S2QPSK,40000,5-Apr,MPEG-4SD,Chi,StreamGuardTopwellUnitend
